V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,ranking
winter,large_,medium,8.35,2.75,97.733,3.681,137.444,91,155.556,2.744,f>e>b>c>adg
summer,large_,medium,8.15,10.4,189.567,5.011,162.944,135.778,219.278,2.859,b>f>c>eg>ad
winter,large_,high__,8.5,10.1,3,0.851,37.778,10.778,23.889,0.5,a>c>b>e>dfg
winter,large_,medium,8.5,11.4,3,0.774,10.909,3.727,8.091,3.6,a>b>cdefg
spring,large_,medium,8.5,8.5,4.025,0.825,23.636,5.583,31.091,2.4,a>c>b>e>dfg
autumn,large_,medium,8.4,11.43,4.966,0.969,24.111,6,18.167,2.133,a>c>b>defg
spring,large_,high__,8.2,9.9,6.4,0.553,21.429,12,76.286,1.3,e>a>f>c>b>dg
autumn,large_,high__,8,10.98,9.7,0.874,67.7,26.6,51.034,2.2,a>f>bcdeg
autumn,large_,low___,8.3,8.9,42.058,5.922,116.727,150.58299,220.72301,6.7,b>g>acdef
spring,large_,low___,8.7,6.8,16.889,2.139,30,37.111,85.444,23.033,b>a>c>g>def
winter,large_,medium,8.6,10.4,15.182,2.502,140.909,31.909,77.7,15.318,g>f>e>a>bcd
summer,large_,medium,8,9.1,15.375,2.118,43.75,48.875,86.5,8.125,g>e>f>c>abd
summer,large_,medium,8.2,9.5,17.875,2.363,63.75,44,77,8.463,b>c>d>af>eg
spring,large_,medium,8.5,9.6,16.545,3.849,103.273,34.273,63.4,14.682,a>b>e>f>c>dg
spring,large_,medium,8.04,9.3,130.263,3.776,131.008,97.5,152.966,6.15,b>f>e>g>d>ac
autumn,large_,medium,7.95,9.1,76.886,3.461,93.827,68.333,146.049,3.95,b>c>ef>a>dg
summer,small_,high__,7.25,9.54,0,0.642,85,14.6,19.45,0.46,a>d>bcefg
autumn,small_,high__,7.64,10.3,34.235,2.942,41.43,17,41.567,7.43,e>a>f>bcdg
winter,small_,high__,7.92,8.5,10.867,1.715,199.54,3.222,27.2,1.9,a>d>bcefg
spring,small_,high__,7.62,9.4,11.055,1.51,13.56,4,12.65,1.456,a>b>d>g>f>ce
summer,medium,high__,7.75,10.7,15.5,3.976,57.64,10.5,43.169,3.12,f>e>a>bcdg
winter,small_,high__,7.08,8.4,9.45,1.572,26.54,4,13.6,0.675,a>d>bcefg
summer,small_,high__,6.92,11.1,9.1,0.63,21,5,0,2.46,a>eg>b>f>cd
winter,small_,high__,8.1,9.8,14.34,0.73,22.5,23,45.5,0.85,c>a>g>bdef
spring,small_,high__,7.2,11.3,8.97,0.23,134.5,13,19,0,a>c>b>defg
spring,large_,medium,8.61,10.1,3.518,0.663,12.22,3.222,7,1.3,a>b>cdefg
summer,large_,medium,8.22,9.5,2.3,0.672,9.87,4,6.123,0.8,a>b>cdefg
winter,large_,medium,8.53,10.5,3,0.758,10.35,4.1,0,4,a>b>cdefg
summer,large_,medium,8.4,10,3.51,0.866,29.65,5.8,15,2.86,c>a>b>defg
winter,large_,high__,8.1,10.9,9.056,0.825,41,20,58,0,b>a>c>defg
summer,medium,high__,8.12,10.2,7.613,0.699,33.56,28.034,49.658,2.2,a>f>c>be>dg
winter,large_,low___,8.43,10.8,35.642,6.225,134,103.5,0,45.375,f>be>g>c>a>d
winter,large_,low___,8.7,11.7,21.4656,3.765,91.45,38,83,17,b>ef>acdg
summer,large_,low___,8.1,8.2,26.54,2.805,42.75,48.5,88.125,13.98,b>e>c>adfg
autumn,large_,low___,8.35,11.1,22.56,3.14,76.2,41,98.665,17.456,b>e>f>a>c>dg
